panel_rule,vertical,entity,mentions,panel_observations,coverage,prominence,breadth,gci,geometric,arithmetic,harmonic,weighted,rank_gci,rank_coverage,abs_rank_shift
recency,fintech,Agibank,53,13673,0.003876252468368317,0.3261320754716981,0.2,0.0632332041005141,0.0632332041005141,0.17666944264668882,0.011276187204775107,0.11385877034894551,40,39,1
recency,varejo,AliExpress,34,13652,0.0024904775857017285,0.20838235294117646,0.4,0.05921083543051864,0.05921083543051864,0.20362427684229276,0.007338044180271558,0.11358987478671514,41,42,1
recency,varejo,Shein,27,13652,0.001977732200410196,0.23555555555555555,0.4,0.05711808114873353,0.05711808114873353,0.21251109591865525,0.005855087604685432,0.120075528209135,42,44,2
recency,fintech,BTG Pactual,36,13673,0.002632926204929423,0.34652777777777777,0.2,0.05671991596312785,0.05671991596312785,0.18305356799423575,0.007738114810179128,0.1182117001674021,43,41,2
recency,tecnologia,IBM Brasil,30,13497,0.002222716159146477,0.38849999999999996,0.2,0.05568886183214562,0.05568886183214562,0.1969075720530488,0.0065577496931417635,0.12845862969548788,44,43,1
recency,fintech,Will Bank,15,13673,0.0010970525853872596,0.30866666666666664,0.4,0.051356141822782274,0.051356141822782274,0.2365879064173513,0.0032705636789422555,0.137824898217899,45,48,3
recency,saude,Unimed,14,13594,0.0010298661174047373,0.3125,0.4,0.05049289377190887,0.05049289377190887,0.2378432887058016,0.0030715675232927202,0.13874291967044283,46,49,3
recency,varejo,eBay,16,13652,0.0011719894520949312,0.413125,0.2,0.045921041053641386,0.045921041053641386,0.20476566315069833,0.0034856541951553276,0.13398444367125695,47,47,0
recency,fintech,XP Investimentos,13,13673,0.0009507789073356249,0.23923076923076922,0.4,0.04497648611015812,0.04497648611015812,0.2133938493793683,0.002834335110761418,0.12037815965209367,48,50,2
recency,saude,SulAmérica Saúde,12,13594,0.0008827423863469177,0.3958333333333333,0.2,0.04119003047111436,0.04119003047111436,0.19890535857322675,0.0026307489942385054,0.12948797876514148,49,51,2
recency,tecnologia,Vtex,24,13497,0.0017781729273171815,0.19645833333333332,0.2,0.041186809240623276,0.041186809240623276,0.13274550208688352,0.005240493790112111,0.08018148708972364,50,45,5
